Player,PassesCompleted,PassesAttempted
Rodrigo Abajas,17,29
James Abankwah,12,14
Keyliane Abdallah,2,2
Yunis Abdelhamid,253,290
Himad Abdelli,502,624
Mohamed Abdelmoneim,204,231
Ali Abdi,202,280
Abel,272,392
Nabil Aberdin,36,61
Oliver Abildgaard,1,1
Matthis Abline,91,137
Abner,282,349
Zakaria Aboukhlal,99,164
Abdel Abqar,240,331
Tammy Abraham,1,3
Tammy Abraham,42,60
Federico Accornero,4,6
Francesco Acerbi,533,563
Akor Adams,78,129
Che Adams,113,161
Tyler Adams,38,48
Junior Adamu,107,169
Tosin Adarabioyo,138,151
Martin Adeline,8,10
Karim Adeyemi,60,82
,,
Simon Adingra,57,83
Amine Adli,92,120
Yacine Adli,254,314
Adryelson,1,3
Vasilije Adžić,9,10
Michel Aebischer,170,196
Oladapo Afolayan,95,136
Emmanuel Agbadou,629,710
Asher Agbinone,2,3
Julen Agirrezabala,193,268
Lucien Agoume,327,411
Felix Agu,306,378
Álvaro Aguado,115,151
Nayef Aguerd,543,603
Ruben Aguilar,165,205
Honest Ahanor,12,17
Jean-Eudes Aholou,265,308
Joseph Aidoo,6,7
Ayman Aiki,10,17
Ola Aina,372,497
Rayan Aït-Nouri,378,459
Kristoffer Ajer,236,300
Ludovic Ajorque,148,208
Manuel Akanji,698,740
Ümit Akdag,91,118
,,
Nathan Aké,80,83
Ilias Akhomach,136,185
Sergio Akieme,231,303
Maghnes Akliouche,291,364
Clément Akpa,281,365
David Akpan Ankeye,6,7
Kevin Akpoguma,429,483
Andreas Albers,6,18
Raúl Albiol,407,460
Carlos Alcaraz,13,13
Omar Alderete,317,472
Carles Aleñá,65,82
Trent Alexander-Arnold,429,614
Alfon,45,59
Mohamed Ali Cho,116,173
Faride Alidou,16,20
Alisson,180,216
Tadeo Allende,1,3
Jim Allevinah,107,146
Domingos André Ribeiro Almeida,190,230
Iker Almena,23,32
Miguel Almirón,30,39
Pontus Almqvist,92,121
Marcos Alonso,533,610
Giorgio Altare,155,198
,,
Adrià Altimira,148,185
Sergi Altimira,369,417
Edson Álvarez,197,231
Hugo Álvarez,480,597
